A1SNEGAF,A1SSATIS,A1PA44,A1SEMA
 , ,999, 
3,7,999,2.607
1.667,6.625,999,2.893
1.667,7.333,999,2.071
 , ,999, 
2,9.5,999,3.821
1.167,9.375,999,3
1,9,999,2.893
1.5,8,999,2.607
1,8.5,999,2.214
1.667,9.25,999,3.036
5,5.75,999,1.214
 , ,999, 
1,9.25,999,2.893
1.667,8.25,999,3.821
1.5,7.625,999,3
 , ,999, 
1.333,8.667,999,3.5
1,8.125,999,2.893
1,9.25,999,3.857
1,8.375,999,3.143
1.667,6.875,10,3.036
2.167,8,999,3.143
4,2.5,40,1.071
 , ,999, 
1,7.75,20,3.286
1.167,9,999,3.679
1,7.75,999,3.964
1.167,6,60,3.679
1,7,999,3.286
1,8.75,999,3.964
2,6.25,999,2.643
1,9.625,999,3.938
4,4.5,999,1.786
1.333,7.5,999,3.607
2.833,4.875,999,2.607
 , ,999, 
1.167,8.333,10,3.143
2.5,7.25,999,3.143
2.833,6.333,999,3.964
1.167,8,40,2.179
 , ,999, 
1.333,7.625,999,3.321
 , ,999, 
1,9,999,3.821
1,7.75,999,3.964
1.333,7.333,20,3.679
1,9.5,999,3.679
 , ,999, 
1,9.375,999,3.286
 , ,60, 
1.333,9.5,999,3.821
1.333,8.375,999,3
3.5,5,20,9
1.667,7.75,999,3
1.667,7.5,999,3.036
1.333,9.25,999,3.714
1.833,8,999,2.357
1.333,8.625,20,3.464
1.167,8.75,999,3
2.167,5.875,999,2.071
1.167,8.5,999,3.429
3.5,1.75,25,2.179
1,8.75,999,3.571
2,8.25,20,3.679
1.333,7.875,999,3.321
1,9.75,999,3.821
1,8.5,30,3.536
1,7.25,999,3.214
 , ,999, 
1.833,6.75,999,3.036
 , ,999, 
 , ,999, 
1.333,7.75,999,3.964
1,8.667,999,3.393
1.333,8,30,3.964
1.333,7.875,30,2.071
1.167,8.25,999,2.571
1.833,6.75,999,1.536
1.167,8.25,999,3.571
1.5,7.75,999,2.036
 , ,30, 
1.667,8,999,3.143
1.5,7.5,999,3.964
2.333,7,999,2.571
1.5,8.125,20,2.893
1.833,7.75,999,3.286
1.5,5.25,999,2.179
2.333,7.75,999,3.143
1.5,6.25,999,3.571
2.333,5,25,3.393
1.333,8.25,999,3.964
1,7.25,999,3.321
1,8.5,999,3.821
2,7,20,2.607
1.167,8.25,999,2.607
1.667,5.333,999,3.679
1.167,7.25,999,2.571
 , ,999, 
1.5,7.333,999,3.071
 , ,999, 
2,9.5,999,3.964
1,10,999,3.607
3,4,999,3.964
1,8.125,999,3.107
1,7.5,999,.964
1.167,9.25,999,3.964
1.167,7.5,999,2.964
4.833,5.625,999,1.357
2.333,8.25,999,1.5
1,7.333,999,3.286
1.167,8.875,999,2.857
1,8.25,999,1.929
1.5,8,999,1.5
1,8.625,999,3.821
1,8.5,999,3.536
1.667,9.5,999,3.375
1.333,9.75,999,2.857
2.5,8,999,3
1.833,6.25,999,3.571
2.833,6.5,999,2.5
1,8.75,999,3.571
4.5,5.875,999,3.964
 , ,999, 
1.167,8.375,999,3.393
1,8.75,999,3.821
3,5.375,999,2.143
1,7.875,20,3.964
1.833,8.75,999,2.5
1.5,9.5,999,3.679
1,10,999,3.964
2.667,3,20,2.071
1.5,7.25,999,2.714
1.167,8.5,60,1.893
2.667,6.167,999,3.964
1.833,7.5,15,3.393
1,8.5,999,3.571
1.833,8.125,999,3.821
1,8.5,999,2.857
1.2,8,999,1.5
1.5,8.125,999,3.429
1.333,7.75,40,2.036
1.167,7.375,999,3.321
9,9.333,999,3.964
1.167,8.5,30,2.893
1.333,7.75,30,3.714
1,8.75,999,3.714
 , ,999, 
 , ,12, 
1.5,6.875,40,2.208
1.333,8.75,999,3.679
1.167,7,999,3
1,6.5,999,1.5
1.5,8.875,999,1.929
 , ,60, 
1,8.375,999,3.571
9,9.25,999,3.714
1,7.875,999,3.286
2.167,9.25,999,3.964
1,8.75,999,3.036
1.833,10,999,3.964
1.667,7.667,999,3.393
2.167,8.5,20,1.357
1,8.5,999,2.429
 , ,999, 
1.333,8,40,3.179
1.333,7.5,999,2.357
1.667,7.375,999,3.286
1.667,6,999,1.25
1.5,8.625,999,2.607
1,9.75,999,3.679
1.167,8.375,999,3.964
2,7.375,999,3.679
2.667,6,5,3.464
 , ,999, 
1,8,999,3.964
1,9.375,999,3.286
1.833,6.5,999,2.214
1.667,4.75,999,1.929
1,7.25,999,3.679
1.5,8,12,3.2
2.167,6.25,999,1.071
1.333,7.667,999,3.393
 , ,999, 
1.5,6,17,3.143
 , ,60, 
2.667,6.5,999,2.708
1,8,999,3.571
1,7.875,999,3.821
1,8.375,999,3.429
3.667,6,40,2.5
1.5,6.125,999,2.5
1,8.75,999,3.536
1,9.5,999,2.857
2.667,4.625,30,2.714
1.167,9,999,3.679
2,7.5,999,3.821
2,7.5,999,3.536
2.333,7.5,30,1.786
1.167,8.5,999,2.179
1.333,8.25,999,3.821
1.333,9,999,3.964
 , ,999, 
2,6.5,999,2.357
1.333,7,999,3.429
2.5,9.125,999,3.536
1.333,7.5,8,1.786
1.5,7.625,999,3
1.333,7.25,999,2.607
1.667,9,20,1.5
1.333,7.375,999,3.286
1.833,6,999,1.393
1.167,8.625,999,2.464
1.5,7,999,3.964
2,6.5,10,3.429
 , ,20, 
1.333,8.25,999,3.821
2.667,4,30,1.643
1,9,40,3.107
1.167,8,20,3.792
1.333,7.375,999,2.857
1,6.75,999,2.071
2.5,6,25,3
2,8.75,999,3.571
1.5,7.375,999,2.893
2.667,6.375,999,3.286
2,7.25,999,3.964
1.833,6.75,999,3.536
1.333,8.875,999,3.429
1.167,6.667,999,3.964
2,6.667,999,3.821
1,8.5,20,3.964
1.5,7.75,999,3.821
1.333,6.375,999,3.107
1.167,9,999,3.821
2,7.75,999,1.071
1,8,999,3.964
 , ,999, 
1,8.25,999,2.214
 , ,997, 
1.333,7.75,999,3.714
1.833,8.25,999,1.643
1,7.875,999,2.893
 , ,999, 
1.833,6.5,999,3.143
1.333,7.5,999,2.321
1,7.875,999,3.679
3.667,7,30,3.964
1,9.75,999,3.964
2,8.5,999,3.821
 , ,999, 
1,9.375,999,3.107
1.333,9.5,999,2.857
 , ,999, 
1,7.875,999,2.893
2.5,5.75,999,3.25
1.4,8.25,999,3.571
1.667,6.75,24,2.607
2,8.125,999,2.393
1.167,7.625,999,3.071
1.167,9.25,999,3.964
1,8.75,999,3.536
1.833,7.5,40,3.964
1,8.333,999,2.607
 , ,999, 
1.667,8.75,999,3.429
1.5,8.5,999,3.286
2.5,6.625,999,1.821
1.167,7.625,20,2.607
1.333,7.333,45,3.821
1.167,8.25,999,3.536
1.167,9,999,3.429
1,8.25,999,2.321
 , ,999, 
2.5,7.5,20,3.821
1.5,6,999,3.25
1.833,8.333,999,3.321
1.333,8.25,40,3.964
2,6.75,20,2.893
1.167,5.333,999,3.571
1,8.75,999,3.964
2,6.5,999,3.857
2,6,999,3.679
 , ,30, 
1,9,999,3.679
2,7.5,999,3.143
1.333,9.125,999,2.929
2.333,4.375,999,1.964
1,7.75,999,3.429
1.5,5.333,999,3.357
1,7.125,999,2.071
1.667,9.25,999,3.286
 , ,999, 
1,8.5,25,3.167
1,8.5,999,3.286
2.333,8.333,999,1.893
1,9.5,999,3.964
1.667,7.75,999,2.643
1.833,8.125,25,2.179
1.333,8.25,999,1.893
1.333,6.125,999,1.5
1,8.25,999,3.964
1.167,7.667,999,3.429
1.167,9.333,999,3.393
1,9.25,999,3.821
 , ,999, 
1,8,40,3.429
1.333,8.25,999,3.714
1,9.25,999,2.75
1.167,7.5,60,2.75
1.333,6.75,999,2.714
3,6.25,20,3.536
1.167,9,999,3.429
3.333,6.25,999,2.75
1.333,8.5,999,3.964
1.833,5.625,999,3.429
1.667,7.125,35,3.036
1.833,7,999,2.357
2.667,7,60,2.5
1.667,7,30,3.857
1.6,9.25,999,3.429
1.5,7,999,2.071
1.333,9.167,999,3.714
1.5,7.875,999,3.036
1.333,7.25,999,3.714
1.167,7,999,2.607
1.333,6.625,999,3.964
1.333,6.75,999,3.036
 , ,999, 
1.667,7.5,999,2.321
1.667,6.625,999,3.964
1.5,7.75,999,3.821
1.833,5.625,999,2.679
2.167,6.5,999,3.679
1.833,8.875,999,3.393
1.5,6.75,999,3.857
 , ,20, 
1,9.25,999,3.964
1.5,8.75,20,3.714
1.833,9,999,9
2.667,3.25,999,2.964
1.167,8.375,999,2.893
1,10,8,2.071
 , ,999, 
9,7,999,3.571
1.5,8.667,999,3.821
1.667,8.125,999,2.607
1.333,6.625,999,2.179
 , ,999, 
1.333,7.75,999,3.964
1.333,7.875,999,2.357
1.333,8.125,999,2.179
1.167,7.375,20,3.821
1.333,9.5,999,3.036
 , ,999, 
1,8.25,999,3.964
1.833,5.875,999,2.893
3,4.25,999,3.429
1.167,6.167,999,3.429
1,7.875,999,1.393
1.333,7.5,999,2.75
1.167,8.375,999,2.893
 , ,30, 
1.167,8.5,999,1.893
2.167,6.125,999,3.036
1.167,8.75,8,3.429
 , ,999, 
2.167,6.5,999,2.286
1,9,999,3.393
1.167,8,999,2.893
1.667,8.875,999,3.821
1,7.25,999,3.393
 , ,40, 
1,9.375,999,3.964
1,7.25,999,3.857
1.333,5.875,999,3.25
1.5,8.5,999,3.607
2,8.875,999,2.179
1.5,6.25,999,2.357
1.167,8.125,999,3
1,8,999,3.714
1,8.875,999,3.964
1,9.125,999,2.857
1,9.125,30,3.821
1.833,8.25,999,3.821
1.833,7.75,30,3.536
1.333,7,999,1.643
1.333,9.125,999,3.679
1.667,7,999,3.179
1.667,8.75,999,2.75
1.5,7,15,3.821
1.5,9.25,999,3.464
2,7,999,3.286
 , ,999, 
4,6.5,80,1.929
1.167,9,999,3.964
2.667,8,999,3.107
1.167,7.375,999,3.679
1.333,5.75,997,3.964
1,9.25,999,3.714
1.5,8.25,999,3.536
2.667,7.75,999,2.893
2.5,5.125,999,2.714
1.5,8.375,999,3.821
1.333,8.25,999,3
 , ,30, 
1.333,6.875,20,3.857
1,6.25,999,1.607
 , ,999, 
1.833,4,999,3
1.5,9,20,3.821
2.667,7.25,999,1.536
1.167,7,999,1.5
2,6.25,30,2.5
1.167,7.75,999,2.571
1.5,6.375,999,2.214
1,8.875,15,3.964
1.333,7.75,999,2.893
1,9.25,999,3.429
 , ,999, 
2.5,5.875,20,3.429
2,8.5,30,2.607
1.667,8.375,999,3.107
1,8.75,999,3.714
3.833,1.5,999,1.857
1.167,9.25,20,3.821
 , ,999, 
1.5,7.125,999,3.321
5,9.75,20,2.321
1,9,999,3.143
1.333,7.375,999,1.214
 , ,999, 
1.333,9.333,999,3.536
1.833,7.5,40,3.286
1.5,8.5,20,3.536
1,8.625,60,3.821
1,8.25,999,3.821
1.833,7.167,999,3.25
1.167,9.167,30,3.536
2.333,5.75,999,3.464
2.167,7.5,999,2.5
1,8.5,999,3.107
 , ,30, 
 , ,20, 
1.167,9,999,3.286
1,9.333,999,2.821
2.667,6.667,999,3.286
1,9.167,20,3.964
1,9.125,40,3.964
 , ,999, 
1.5,8.5,999,3.821
1.333,7.833,999,3.536
1.167,9,999,3.857
1.667,7.5,999,3.571
2.167,7,30,3.036
2.167,9,20,9
2.667,7.125,999,2.25
1.833,6,20,3.464
1.2,8.875,30,2.75
1.833,7.125,999,3.714
3,6.25,60,2.607
1.333,6.75,999,2.571
2.5,8.25,20,2
1.167,8,999,3.179
1.333,7.875,999,2.5
1.833,5.75,999,2.286
1,9,999,3.964
1.167,8.5,999,3.964
1,9.25,999,2.536
1,9.75,999,3.143
1.167,7.75,20,2
1.833,9,999,3.571
1,8.625,999,3.964
1.5,7.75,999,2.893
1,5.5,999,3.964
1,9.625,999,3.964
1.167,8.25,999,2.5
1.667,8.5,999,3.964
1,8,40,1.786
2.167,7.5,999,3.036
1,8.25,999,3.571
1.833,7,999,3
1.167,7.75,999,3.679
1,9,999,3.071
1,7.75,999,3.857
1.333,9.25,20,3.821
1.167,9,10,3.607
2,8.333,999,2.143
1,7,999,3.964
1,7.875,999,3.393
1.667,8.625,999,1.893
1.833,6.25,999,3.679
1,9.75,40,3.821
1.5,7.25,999,2.464
1.667,8.5,50,3.143
1.333,7,999,3.821
1.5,8.25,999,3.688
1.333,7.875,50,3.821
2.5,4.25,999,2.25
1,7.75,30,3.964
1.667,7.25,999,3.143
1,9.167,999,9
2.833,7.625,20,3
1.333,7.625,999,3.964
1.833,7.625,999,.964
1,6.5,999,3.464
1.167,7.75,999,3.964
1.5,7,999,3.393
1,8.875,30,3.964
1.667,8,30,2.786
1.333,7.375,999,3.714
 , ,20, 
1.833,8.75,40,2.214
2,7.25,999,2.75
1.833,8,999,2.893
1,8.5,999,3.571
1,8.5,40,2.714
1.167,9.5,999,3.679
1.167,7.625,999,3.179
1.333,6.875,999,3.571
1.167,8,999,2.821
1,8.5,999,1.929
1,7.875,999,1.786
2.667,7,999,2.5
2.833,6,999,3.536
1.5,7.75,999,3.286
 , ,999, 
3.167,4.5,999,3.036
1.833,6.625,999,2.214
1.167,7.5,999,3.536
1.333,8.25,32,2.893
1,9,999,3.286
1.333,8.5,999,3.536
1,7.25,999,3.179
1.667,8.125,999,2.643
 , ,999, 
1.667,7.75,5,3
1.833,7,999,3.679
 , ,999, 
1.667,8.375,30,3.571
1.667,8.25,60,3.857
1.333,7.667,20,3.036
1,8.125,60,3.536
1.167,7.75,999,3.857
1.5,6.375,999,1.929
 , ,999, 
 , ,999, 
1.333,8.375,999,3.964
1.667,7.75,999,3.429
1.5,7.375,20,2.75
2.75,6,999,3.429
1,9.125,999,3.036
1.667,8.75,999,2.036
 , ,999, 
1.833,3.75,999,3.964
1,9,25,3.679
1,5,999,2.464
 , ,999, 
1,9.25,999,3.964
2,8.75,999,3.964
4.667,9,999,3.964
1,9.25,999,2.964
 , ,20, 
 , ,20, 
1,8,20,3.429
1.333,7.375,20,3.036
1,8.25,999,3.679
1.167,8.875,999,3.429
1.833,7.75,999,3.429
2.167,6.75,999,3.464
3,5.25,50,2.179
2.833,5.375,40,3.679
1,8.375,999,3.393
 , ,999, 
1,7.25,999,3.536
3.667,6.5,40,3.036
1.167,8.375,999,3
1.167,8.25,999,3.143
1,6.75,999,1.893
 , ,999, 
1,6.25,999,1.786
2,7.75,999,3.536
 , ,999, 
1,9,999,3.857
1.5,8,999,3.179
2.667,4.75,999,3.143
3,5,20,2.179
 , ,20, 
1.5,9.125,999,3.143
1.5,7.875,999,3.036
1.833,8.625,40,2.857
1,8.5,999,3.036
 , ,999, 
 , ,999, 
1.5,7.625,999,3.143
1,8.5,999,3.536
4,3.25,8,1.679
2,7.333,999,3.714
 , ,999, 
1.167,6.75,999,3.179
1,7.875,999,3
1.333,7.375,999,2.643
1,8.25,999,3.607
1.667,8,20,3.036
1.333,6.667,999,2.964
1.333,7.25,999,3.286
1.5,9.5,999,2.643
2.833,6.5,40,2.607
4.667,4.125,999,.964
3.833,7.75,6,3.679
2.833,5.75,999,2.893
1.5,6.25,999,3.821
1.833,6.5,999,1.929
1,9.25,999,3.821
2.5,8,50,3.607
1.667,8.25,20,3.679
1.167,8.833,25,3.821
1.333,8.5,20,1.071
2.667,8,999,3.036
3,5.75,999,3.286
1,8.75,40,3.286
1.333,7.375,999,2.179
 , ,999, 
2,6.625,15,1.929
1,9.375,999,3.536
1.333,7,20,1.643
1.167,6.875,999,3.857
1.833,5.667,999,3.321
3.167,7.25,999,3.964
1.167,8.625,999,3.821
1,7.875,999,2.357
 , ,40, 
1.167,9.5,999,3.036
1.167,6.375,999,2.893
 , ,999, 
 , ,20, 
1.333,7,999,1.357
1.667,7.25,30,3.679
2,7.375,999,3
1.333,8.875,999,3.321
1,8.75,999,3.964
1.167,10,999,9
1,8.75,20,2.75
2,6.5,999,3.286
2.167,7.667,20,2.893
1.167,8.625,999,3.321
1.667,7.25,20,3.571
1,7.5,999,3.714
1.667,4.625,3,3.714
1,7.25,20,2.607
1.667,7.5,999,3.571
1.333,8.667,20,3.964
1.167,6.25,999,2
1.667,7.75,999,1.643
1.667,9.25,999,3.679
2.333,1.333,999,2.857
2.167,7.5,30,3.321
 , ,999, 
2.333,7.5,30,3.964
 , ,999, 
1.333,7.625,999,2.857
1.333,8.5,999,3.821
 , ,999, 
2,4.667,999,1.964
1,7.625,999,3.571
1.333,4.667,999,3.964
1,8.625,999,2.964
 , ,20, 
1.167,8.25,999,3.821
1.833,5.5,30,2.071
1.667,7.875,999,3.714
1.833,8.375,999,3.679
3,8,999,1.357
1,5.75,999,3.679
1.5,7.75,20,1.357
1,8.75,999,3.964
1,7.375,999,3.321
4.167,7,999,3.679
3.833,5.125,30,3.964
1,7.75,999,3
3.667,4.75,20,2.75
4.167,5.875,45,2.607
2.667,6.875,999,2.75
 , ,999, 
1,9.667,20,3.143
 , ,999, 
1,8.333,999,3.143
4.5,7,999,2.464
2.5,6.75,40,3.964
1.167,9,999,3.286
1.667,7.625,999,3.536
1.333,6.875,999,3.429
1.833,7.5,60,3.107
1.5,8.75,999,2.5
2.333,8.25,40,3.714
1.5,9.25,999,3.821
1.5,5.125,30,1.929
1.333,8.875,999,3.964
1.5,3.333,999,1.875
2,8.125,999,2.321
1,7.375,999,2.607
2.167,5.875,999,3.286
 , ,999, 
1.333,8.125,60,3.679
1,9.667,999,3.679
1.167,7.75,999,3.429
1.167,8.5,999,3.143
 , ,999, 
1,5.75,60,2.607
 , ,999, 
1.167,8.5,999,3.964
1,8.25,999,3.821
1,8,999,3.714
2.5,8,999,2.75
 , ,999, 
1,9,999,3.821
1.167,8.75,999,2.036
1.667,9.5,999,3.821
2,8.5,999,2.643
1.5,8.125,999,2.464
2.5,7.125,40,3.536
3.667,7.125,999,3.821
2.333,6.5,999,3.964
2.167,8.25,999,3.714
1.167,8,999,3.429
1.167,9.5,999,3.679
1.5,9.625,999,1.786
1,8.375,999,2.75
2.5,7.333,999,3.714
1.667,8.625,999,3.286
 , ,999, 
 , ,999, 
1.333,8.625,999,3.429
1.5,6,999,2.464
 , ,999, 
1,8.875,999,3.821
1,8.25,40,3.821
1,9,999,3.964
1.667,9.5,999,3.679
1.167,8.75,6,3.571
1,6.375,15,2.607
1.333,6.875,999,3.679
1.167,7.667,999,3.821
1.5,7,999,2.179
1.333,6.75,999,3.25
1,7,999,2.786
1,8.5,40,2.214
1.167,8.5,999,2.714
 , ,999, 
1.167,7.625,999,9
1.5,7,999,2.607
1,3.75,999,1.929
1.667,9,20,1.071
1.167,9.5,15,3.143
 , ,999, 
1,8.75,999,3.679
1,8.75,999,3.714
1.167,9,999,2.464
1,9.5,999,3.964
1,7.5,999,3.179
1.667,5.375,999,1.786
1.167,8.75,999,3.25
1.833,6.25,40,3.571
1,6.75,30,3.571
1.667,9,999,3.143
1.5,5.667,999,3.286
1,8,20,3.679
1.333,8.125,999,3.714
1.333,8.25,25,3.429
1,9.5,999,3.429
2,3.75,30,3.75
1.333,8.75,999,3.143
1.5,8.125,999,3.679
 , ,999, 
2.333,7,30,1.393
1.167,7,999,2.893
1.167,8,999,3.393
3.833,4.75,999,2.464
1.333,7.5,999,1.393
2.5,7.25,999,1.393
2,6.125,5,3.536
1.667,6,999,3.393
1,9.25,999,3.429
 , ,999, 
1.5,7.25,30,3.679
 , ,999, 
1.167,9.25,999,2.607
1.5,8,999,3.821
 , ,20, 
1.333,8,999,3.964
1.5,8.375,999,3.821
1,7.875,999,2.464
1,9.25,999,3.964
2.667,6.5,999,1.679
1.667,8.5,30,2.464
1,9.5,999,3.857
1.5,9.25,999,3.321
1,8.25,999,3.714
1.333,8.5,999,1.643
1,9.25,20,2.857
2.667,6.333,10,2.321
1,7.167,999,3.536
1.667,7.5,30,3.75
1.5,7.75,999,2.857
1,7.375,45,3.25
1.5,9.375,999,2.75
1.667,7.875,999,3.714
1.5,6.5,20,2.321
 , ,999, 
1.333,7,999,3.179
1.167,8,999,3.571
1.333,8.75,999,3.458
 , ,999, 
2.333,7,999,2.643
2.333,7.25,999,2.179
1.333,7.25,999,2.607
1,9.125,999,3.821
 , ,999, 
2,7.75,999,3.821
1,8,999,2.179
 , ,40, 
1,7.125,40,3.464
1.167,8.5,999,2.75
1.667,8.5,999,2.607
2.333,7.25,20,2.464
 , ,12, 
 , ,20, 
1,8.625,999,3.536
1.667,7.25,999,3.679
1.5,6.333,999,2.929
1.667,8,999,1.893
1,6.625,999,3.429
3.5,7.5,999,3.036
1.333,4.75,999,3.393
2.333,8,999,3.036
2.333,6.875,999,3.179
1.667,7.125,50,3.464
1,6.625,999,3.393
1,9,999,2.893
9,7.5,999,3.429
2.5,8.625,10,3.179
1.333,8.875,999,2.75
1.167,8.625,999,3.143
1,6.5,999,2.464
2,8.25,999,2.75
2.167,7.333,999,3.143
 , ,20, 
1,9.125,999,3.964
1.167,8.75,999,2.429
1,7.5,999,3.821
1,10,999,1.214
 , ,999, 
1.167,8,999,3.536
1.5,7.25,15,1.964
1,8.25,999,3.036
1.333,9.5,999,3.286
1.5,7,40,3.857
 , ,999, 
1,9.75,999,3.393
1.667,4.625,999,2
3,3.75,40,1.5
1.5,7.375,999,2.75
1.333,7.625,999,3.143
1.667,8,999,2.714
1.5,9.5,999,3.679
1,8.5,30,3.286
1.333,9,999,3.107
2,9.625,999,3.714
1,6.667,999,3.714
1.5,7.875,999,3.286
2.333,6.5,2,2.857
1.167,6.375,999,3.429
1,8.667,999,3.821
1.5,7.5,20,3.429
2,6.25,999,3.821
1,8.625,20,3.679
1,8.667,999,3.179
 , ,999, 
 , ,30, 
2.167,6.625,999,2.571
4,3.333,40,3.179
1,8.25,10,3.536
1,9.75,999,3.429
1,9.5,999,1.786
2,7.333,999,3.964
1.333,7.875,999,3.286
1.833,6.667,999,2.893
 , ,999, 
1,9.5,20,2.357
 , ,999, 
1.5,7.5,999,3.857
1.333,8,30,2.964
1,8.25,999,3.821
1.333,7.5,20,3
2.333,2,30,2.321
2,9.25,999,3.964
 , ,999, 
1,9,999,3.964
1.833,8.125,20,3.036
2,6.25,999,3.964
2,7.5,999,3.571
1,9.25,999,3.714
1.5,8.667,999,3.036
1.167,8.25,20,2.857
1.167,8.75,999,3.964
1,9,999,3.964
2,7.75,30,2.893
1.5,8.5,999,3.679
1,9.25,999,3.821
 , ,999, 
1,6.5,999,3.036
1.333,10,999,2.893
1.667,8.875,999,1.75
1.167,8.333,999,3.679
1,6.375,999,2.214
1,8.75,999,3.964
1,8,999,2.464
4.167,5.75,999,2.179
 , ,999, 
 , ,999, 
1.833,7.5,999,3.964
1.333,7.667,999,2.214
1.333,8.625,999,1.536
1,7.625,999,3.857
1.167,8.333,999,3.679
2.333,6.375,999,3.036
1,8.75,999,3.286
1,8.667,999,3.964
2.833,7.75,10,2.857
 , ,999, 
1.833,7.25,999,2.714
2.167,6,35,3.571
1.333,9,999,1.786
 , ,999, 
1.667,7.5,999,2.893
1,10,999,3.5
1.667,7.5,999,3.321
 , ,999, 
2.333,5.75,999,2.179
1,8,999,3.036
1.833,8,999,3.821
1.167,8.625,999,3.536
1.167,8.625,999,3.143
1.5,8.5,25,3.25
1.5,9.5,999,3.679
1.667,7.333,999,3.036
1.667,8,999,3.857
1.167,8,999,3.464
1,8.5,999,2.464
1.5,9.5,999,2.964
1.167,8.625,999,1.893
1.2,9.25,999,2.429
1.333,8.667,999,3.679
2.667,5.25,999,3
1.5,7.833,999,2.857
1,6,8,3.321
 , ,999, 
1,8.75,60,3.571
1.667,8,40,3.536
1.833,8.5,999,3.536
1.333,8.25,999,3.714
3.333,7.333,20,3.857
1.167,6.333,50,2.893
3,7.75,999,2.75
3,7.5,999,3.857
 , ,60, 
1,8.625,20,3.821
1.167,8.5,999,3.536
 , ,999, 
 , ,999, 
1.167,8.25,999,3.964
1.167,9,15,3.571
1.333,8.25,999,2.571
2.833,5,999,2.607
2.167,7.375,999,3.25
1,8.5,999,2.857
1.167,7.75,999,3.571
1,10,999,2.857
1.333,8.75,20,3.964
 , ,999, 
1.167,9.5,999,1.5
1,7.625,999,3.821
1,5.667,999,3.107
 , ,999, 
 , ,999, 
1.167,6.667,999,3.679
1,8.375,999,2.357
 , ,999, 
1.5,7.667,999,3.571
1.667,9,999,9
2,6.875,999,2.179
1,8.125,999,3.393
1,8.75,20,2.607
1.167,8.75,999,3.964
1.167,8.75,999,3.821
1.5,8.25,40,3.071
 , ,17, 
1,8.75,999,3.571
1,9.625,999,3.107
 , ,999, 
1,8.75,999,2.321
1.5,9.75,999,3.393
 , ,30, 
1,8.5,999,2.036
1.333,7.125,40,3.143
1,10,999,3.964
1.333,9.75,999,3.964
1.333,9.25,999,3.286
3.5,7.25,30,3.393
2.5,8.75,999,3.393
1,8.333,999,2.429
3,6.5,20,2.893
1.167,9,999,2.571
2.667,6,20,3.464
1.667,7.625,16,2.786
1,6.75,999,2.857
1.667,6.5,999,3.571
2,6.5,15,2.167
1.167,7.875,999,2.893
2.833,5,999,3.536
1,7,999,3.964
1.5,8.375,999,3.393
1.5,8.25,999,2.5
1.167,8.375,999,3.179
1.333,9.5,999,9
2.167,5.333,999,3.679
1,8.75,999,2.429
1.5,8.25,999,3.571
1.667,8.25,999,3.143
1.833,6.25,999,3.143
1.333,8,30,3.821
1.5,8,999,2.857
1.833,8.625,999,2.179
 , ,999, 
1.833,10,999,2.75
1.333,8.333,999,3.25
1,8,999,3.679
1.833,9,999,3.536
2.833,5.875,999,1.25
2.2,8.75,10,3.536
1,9,999,3.286
1.5,8.125,999,2.607
2.5,6.625,999,3.714
1.167,9.75,999,3.286
1.333,6.25,20,3.964
1.333,7.25,999,2.464
1.167,8.625,999,3.536
1,8.25,999,3.964
1.333,8,999,3
1,9,999,3.964
 , ,40, 
1.833,5.625,999,1.643
1.333,7.875,999,3.821
1.5,9.333,20,3.964
1.667,8.333,999,3.25
3,7,999,1.357
 , ,999, 
2.5,8.25,20,2.071
1.5,8.75,999,2.429
1,7.5,999,3.536
1.667,6.5,20,2.321
1.167,9.125,999,3.536
1.667,6.75,999,3.95
3,6.375,40,3.536
 , ,20, 
1.833,6.333,999,3.143
1,9.5,999,3.821
2.167,9,40,1.929
1,8.125,999,3.036
1,8.125,999,3.536
1.667,8,999,2.714
1.333,7.875,30,2.893
1.833,7,999,3.821
2,8.5,20,3.429
 , ,999, 
1.667,7.375,999,2.857
1.667,7.5,999,3.536
1,8.125,999,3.571
1.333,7.75,999,3.143
 , ,999, 
2.833,5,999,2.321
1,9.75,999,3.679
1.333,8.125,999,3.429
1,9.125,999,1.929
1,9.25,999,3.821
1.167,8.625,999,1.357
2.333,5.125,40,2.464
3.5,3.125,999,2.75
1.167,8.375,999,3.143
1.5,7.75,999,2.857
1.167,8.75,999,2.893
1,10,999,3.964
1.667,9.125,999,3.179
1.167,9,999,3.679
1.667,8,60,3.143
 , ,40, 
1,8.125,999,3.679
2.667,7.5,999,3.964
1.667,6.5,999,3.571
1.333,8,999,3.571
1.167,8.875,999,2.429
1.5,8.25,999,3.429
1.833,8.375,40,3.821
1.333,8.75,999,3.571
5,8.333,999,3.143
1,9.25,999,3.679
1.333,6.5,999,2.857
1.833,8.25,999,3.429
1,8.75,999,9
1.167,7.875,999,2.893
1,7.5,999,3.821
1.333,8.625,15,3.679
1.5,8.625,999,3.821
1,7.333,999,3.393
1.333,8,999,2.75
1.333,7.625,999,3.179
2,8,10,3.536
1,9.25,999,3.571
1,9.5,999,3.821
1,9.5,999,3.429
2.333,8.5,999,1.786
1.167,9.5,999,3.458
1,9.125,999,3.107
 , ,60, 
2.667,7.333,40,2.036
1.5,5.875,999,3.792
 , ,999, 
2,8.75,999,3.679
2,7.25,999,2.75
 , ,999, 
1.333,8.5,999,1.964
1.167,7.625,999,2.893
1.5,9.667,999,3
1.667,8.375,999,2.714
1.333,5.875,999,3.286
1,8.5,999,2.179
